,Path,CBO,CC,DIT,LCOM,LOC,NOC,RFC,WMC,class_frequency,will_change,number_of_changes,change_probability
1083,1083,4,13,0,0,13,0,0,0,6,0,0,0
1084,1084,1,15,0,0,15,0,0,2,6,0,0,0
1085,1085,0,9,0,0.57,8,0,0,0,6,0,0,0
1086,1086,4,3,2,0,4,0,2,0,6,0,0,0
1087,1087,0,9,0,0,9,0,0,0,6,0,0,0
1088,1088,2,9,2,0,9,0,1,0,6,0,0,0
1089,1089,3,1,2,0,1,0,1,0,6,0,0,0
1090,1090,2,39,0,0,39,3,0,0,6,0,0,0
1091,1091,8,30,0,0.79,39,1,1,0,6,0,0,0
1092,1092,0,0,0,0,0,0,0,0,6,0,0,0
1093,1093,2,13,0,0.85,19,0,2,0,6,0,1,0.166666667
1094,1094,4,3,2,0,4,0,2,0,6,0,0,0
1095,1095,0,9,0,0,9,0,0,0,6,0,0,0
1096,1096,3,7,2,0,7,0,1,0,6,0,0,0
1097,1097,2,3,2,0,3,0,1,0,6,0,0,0
1098,1098,10,50,0,0.83,74,0,15,2,6,0,1,0.166666667
1099,1099,0,11,0,0,11,0,0,0,6,0,0,0
1100,1100,2,11,2,0,11,0,1,0,6,0,1,0.166666667
1101,1101,1,15,0,0,15,0,0,0,6,0,0,0
1102,1102,0,38,0,0,50,0,0,0,6,0,0,0
1103,1103,0,13,0,0,13,0,0,0,6,0,0,0
1104,1104,2,15,2,0,15,0,1,0,6,0,1,0.166666667
1105,1105,4,33,0,0.87,40,0,1,0,6,0,0,0
1106,1106,5,3,2,1,4,0,2,0,6,0,0,0
1107,1107,0,17,0,0,17,0,0,0,6,0,0,0
1108,1108,0,19,0,0,19,0,0,0,6,0,0,0
1109,1109,2,35,0,0,35,0,0,0,6,0,0,0
1110,1110,0,3,0,0,3,2,0,0,6,0,0,0
1111,1111,1,13,0,0,27,0,0,2,6,0,0,0
1112,1112,1,13,0,0,14,0,0,0,6,0,0,0
1113,1113,1,13,0,0,13,0,0,0,6,0,0,0
1114,1114,1,7,0,0.71,10,0,1,0,6,0,0,0
1115,1115,4,3,2,0,4,0,2,0,6,0,0,0
1116,1116,0,9,0,0,9,0,0,0,6,0,0,0
1117,1117,0,5,0,0,5,1,0,0,6,0,0,0
1118,1118,3,21,0,0,21,0,0,0,6,0,0,0
1119,1119,0,5,0,0,5,0,0,0,6,0,0,0
1120,1120,1,36,2,0,31,0,1,1,6,0,0,0
1121,1121,1,11,0,0,11,2,0,0,6,0,0,0
1122,1122,2,3,2,0,3,0,1,0,6,0,0,0
