,Path,CBO,CC,DIT,LCOM,LOC,NOC,RFC,WMC,will_change
3688,Application.Areas.RmaAdmin.Handlers.Replacement.Plant9.AskForSuggestionsCommandHandler,0.1111111111111111,0.020491803278688527,0.0,0.33,0.022644265887509132,0.0,0.0387409200968523,0.0,0
3689,Application.Areas.RmaAdmin.Handlers.Replacement.Plant9.DetailsQueryHandler,0.05555555555555555,0.012295081967213115,0.0,0.0,0.013878743608473338,0.0,0.014527845036319613,0.0,0
3691,Application.Areas.RmaAdmin.Handlers.Replacement.Plant9.SaveCommandHandler,0.1419753086419753,0.020491803278688527,0.0,0.5,0.02556610664718773,0.0,0.06295399515738499,0.0,0
3693,Application.Areas.RmaAdmin.Handlers.Request.IndexQueryHandler,0.11728395061728394,0.00819672131147541,0.0,0.0,0.008765522279035792,0.0,0.04358353510895884,0.0,0
3694,Application.Areas.RmaAdmin.Handlers.ReturnItems.ExportQueryHandler,0.09876543209876543,0.020491803278688527,0.0,0.0,0.010226442658875092,0.0,0.053268765133171914,0.0,0
3695,Application.Areas.RmaAdmin.Handlers.ReturnItems.IndexCommandHandler,0.14814814814814814,0.03073770491803279,0.0,0.0,0.04163623082542001,0.0,0.07263922518159807,0.0,0
3696,Application.Areas.RmaAdmin.Handlers.ReturnItems.IndexQueryHandler,0.1111111111111111,0.034836065573770496,0.0,0.0,0.03287070854638422,0.0,0.04600484261501211,0.0,0
3701,Application.Areas.RmaAdmin.Handlers.RMA.CancelPendingCommandHandler,0.07407407407407407,0.004098360655737705,0.0,0.0,0.006574141709276844,0.0,0.031476997578692496,0.0,0
3702,Application.Areas.RmaAdmin.Handlers.RMA.IndexQueryHandler,0.1419753086419753,0.010245901639344263,0.0,0.33,0.01241782322863404,0.0,0.053268765133171914,0.0,0
3705,Application.Areas.RmaAdmin.Handlers.SuggestItems.DetailsQueryHandler,0.04938271604938271,0.012295081967213115,0.0,0.0,0.013148283418553688,0.0,0.012106537530266345,0.0,0
3706,Application.Areas.RmaAdmin.Handlers.SuggestItems.IndexQueryHandler,0.1111111111111111,0.004098360655737705,0.0,0.0,0.006574141709276844,0.0,0.03389830508474576,0.0,0
3707,Application.Areas.RmaAdmin.Handlers.SuggestItems.SaveCommandHandler,0.12962962962962962,0.028688524590163935,0.0,0.33,0.018261504747991236,0.0,0.04842615012106538,0.0,0
3708,Application.Areas.RmaAdmin.Mailers.IMailer,0.006172839506172839,0.02459016393442623,0.0,0.0,0.0,0.0,0.0,0.0,0
3749,Application.Areas.RmaAdmin.Senders.IRmaMailSender,0.006172839506172839,0.0020491803278688526,0.0,0.0,0.0,0.0,0.0,0.0,0
3750,Application.Areas.RmaAdmin.Senders.RmaMailSender,0.037037037037037035,0.018442622950819672,0.0,0.0,0.018261504747991236,0.0,0.02179176755447942,0.0,0
3759,Application.Areas.RmaAdmin.Utils.SelectListUtils,0.018518518518518517,0.00819672131147541,0.0,0.0,0.005113221329437546,0.0,0.009685230024213076,0.0,0
3763,Application.Areas.RmaAdmin.Validators.Inva.StockInvaViewModelValidator,0.037037037037037035,0.018442622950819672,0.0,0.5,0.01095690284879474,0.0,0.012106537530266345,0.0,0
3766,Application.Areas.RmaAdmin.Validators.Replacement.FormItemValidator,0.08024691358024691,0.036885245901639344,0.0,0.6,0.030679327976625273,0.0,0.04116222760290557,0.0,0
3767,Application.Areas.RmaAdmin.Validators.Replacement.FormValidator,0.06172839506172839,0.018442622950819672,0.0,0.33,0.008765522279035792,0.0,0.02421307506053269,0.0,0
